final_text,Sentiment,label
company process building new fleet placed order 10 pmax tanker 65200 dwt,positive,2
medium advisory ntsb said subsequent testing train detection system intermittently failed ``,negative,0
furthermore bunge also sign licensing agreement sunnuntai carlshamn mejeri brand,positive,2
yit construction town riihimñki signed lease contract whereby town occupy travel centre office facility,positive,2
tesla motor recall 2700 model x suv $ tsla httpstcof55dx4aegi,negative,0
aspo plc stock exchange bulletin october 24 2006 200 pm aspo system division completed statutory negotiation required act cooperation within undertaking conducted part action plan launched august,neutral,1
operating loss amounted eur 08 mn compared profit eur 39 mn year earlier,neutral,1
kemira share closed x20ac 1666 $ 22us 71,neutral,1
server responsible managing device user account desktop client application enables remote access mobile phone,neutral,1
british american tobacco drop sue pwc pollution scandal,negative,0
subscription sale decreased slightly,negative,0
uncommonly weak snow condition nearly every market affected first quarter result `` chief executive roger talermo said,negative,0
$ ebay ebay bay working couple daily dojis continue downside httpstcolgu0ybxeze,negative,0
tesla model x recall add reliability issue $ tsla httpstcojvxq4doxnp,negative,0
sweden gallerix accumulated sek denominated sale 1 % eur denominated sale 11 %,neutral,1
$ hpq say breakup cost billion see saving httpstkscop27hz,negative,0
scanfil also issued profit warning,negative,0
$ aapl double bottom could keep mind,positive,2
revenue quarter fell 8 percent euro 24 billion compared year earlier,neutral,1
finnish raute precision large glass batch plant mortar plant order mexico u,positive,2
$ onty continues base debate lingers ont10 data next potential catalyst positive stock quickly move $ 10 downside limited,positive,2
beginning subscription period may 2 2006 share subscription price b option right eur 1022 per share,neutral,1
$ gild sandbagged guidance use last 3 billion cc cautiously optimistic wait til next er confirmation,neutral,1
fastenal miss $ 001 miss revenue $ fast nyse httpstco63jhq7pwmn,negative,0
company report loss period eur 04 mn compared loss eur 19 mn corresponding period 2005,positive,2
$ jd 20 % afterhour market anyone care explain,negative,0
$ camt look like might break 'm,negative,0
$ plug bear raid,negative,0
engine electrical output 18321 kw making largest gas powered generating set world,neutral,1
operating profit eur 245 mn eur 230 mn,positive,2
rt cash_cow $ tlt still rising rsi macd bond buying signaling bad move market $ spy $ uup,negative,0
operating profit fourth quarter fell eur33m eur39m year earlier,negative,0
mformation nokia noted established interoperability agreement cover commercially proven standardsbased management mobile device well mobile device security mobile application management,positive,2
remaining amount funded debt danish bank said,neutral,1
finnish investment company neomarkka main owner kuitu finland 's successor,neutral,1
adpnews dec 30 2009 finnish investment group neomarkka oyj hel nembv said today furlough employee unit reka cable ltd less 90 day starting january 2010,neutral,1
elcoteq 's electronics manufacturing service em business segment serf customer globally engineering manufacturing fulfillment service,neutral,1
operating result excluding oneoff item totaled eur 91 mn compared eur 106 mn continuing operation excluding oneoff item 2004,negative,0
providing managed service nokia take responsibility building operating transferring well optimising indosat 3g network,neutral,1
eps grew 004 eur 002 eur,positive,2
according company addition normal seasonal fluctuation market situation weakened autumn 2008,neutral,1
$ lnkd daily phase 2 retest price experiencing early rejection retest httpstkscot04xx,negative,0
finnish communication electronics component supplier scanfil oyj tuesday said sale first half 2006 15 % lower period year ago,neutral,1
global banking news 28 september 2010 tieto corporation pohjola bank pink pojlf cooperate swift service,positive,2
case effect would negative finland,neutral,1
rb reportedly appoint howard davy next chairman,neutral,1
new delhi july 17 sahlberg teppo kallio timo mustonen tuomas real oyj espoo finland developed novel marking method producing,neutral,1
result 12 people made redundant total 67 person laid temporarily,negative,0
operating profit eur 16 mn 2005 compared eur 59 mn 2004,neutral,1
export grew 165 percent 191 million liter,positive,2
juhani jñrvi corporate executive vice president kesko say russian food retail sector fragmented,neutral,1
geosolutions technology leverage benefon 's gps solution providing location based search technology community platform location relevant multimedia content new powerful commercial model,positive,2
operating loss totalled eur 03 mn profit eur 51 mn first half 2009,negative,0
glaxosmithkline share price slip fda okay asthma therapy adult,negative,0
26 october 2010 finnish environmental management company lassila tikanoja oyj hel lat1v lt said today net profit declined eur20 9 first nine month 2010 eur27 6 period year earlier,negative,0
change optimize operational efficiency growing business `` said julia prohaska director marketing communication fiskars,positive,2
company 's order book stood 15 bln euro $ 22 bln september 30 2007 242 pct year international order amounting 365 mln euro $ 5343 mln,positive,2
operating profit totalled eur 96 mn eur 420 mn year,negative,0
$ aapl key breakout 460 solid volume else 's trade,positive,2
module product available trial 3q07 volume delivery 4q07,neutral,1
ntc geographical presence complement ramirent 's existing network brings u closer customer east bohemia region czechrepublic ``,positive,2
old mutual firstquarter sale 18 % buoyed emerging market,positive,2
10000odd square metre plot stockmann bought nevsky center shopping center located nevsky prospect st petersburg 's high street next vosstaniya square underground station immediate vicinity moscow station,neutral,1
also latvia act partner bakery customer production product development,neutral,1
according company layoff temporary,neutral,1
finnish software hardware developer elektrobit oyj hel ebg1v eb said today temporarily lay 200 people maximum 90 day finland aiming achieve cost saving eur 17 million usd 2m second half 2010,negative,0
capman office helsinki stockholm copenhagen oslo manages nordic buyout mezzanine technology life science real estate fund approximately eur2 6 bn total capital,neutral,1
fair value company 's investment property went eur2 769 bn end september 2009 eur2 878 bn year earlier,negative,0
result transaction aggregate holding burrill life science capital fund lp decreased 5 per cent total number share vote company,neutral,1
