final_text,Sentiment
geosolutions technology leverage benefon 's gps solution providing location based search technology community platform location relevant multimedia content new powerful commercial model,positive
$ esi low $ 150 $ 250 bk real possibility,negative
last quarter 2010 componenta 's net sale doubled eur131m eur76m period year earlier moved zero pretax profit pretax loss eur7m,positive
according finnishrussian chamber commerce major construction company finland operating russia,neutral
swedish buyout firm sold remaining 224 percent stake almost eighteen month taking company public finland,neutral
$ spy would n't surprised see green close,positive
shell 's $ 70 billion bg deal meet shareholder skepticism,negative
ssh communication security corp stock exchange release october 14 2008 245 pm company update full year outlook estimate result remain loss full year,negative
kone 's net sale rose 14 % yearonyear first nine month 2008,positive
stockmann department store total floor space 8000 square metre stockmann 's investment project price tag eur 12 million,neutral
circulation revenue increased 5 % finland 4 % sweden 2008,positive
$ sap q1 disappoints software license real problem cloud growth trail $ msft $ orcl $ goog $ crm $ adbe httpstcojndphllzq5,negative
subdivision made sale revenue last year eur 4807 million eur 4149 million 2008 operating profit eur 445 million eur 74 million,positive
viking line canceled service,neutral
ahlstrom corporation stock exchange announcement 722007 1030 total 56955 new share ahlstrom corporation subscribed option right company 's stock option program 2001 ii 2001,neutral
$ fb gone green day,positive
$ msft sql server revenue grew doubledigit sql server premium revenue growing 30 % httpstkscoir2f,positive
according lñnnen tehtaat 's ceo matti karppinen company aim deliver fish product customer day earlier currently,neutral
company 's share quoted nasdaq omx helsinki rautaruukki oyj rtrks,neutral
elcoteq se listed nasdaq omx helsinki ltd,neutral
two contract turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,neutral
aviva friend life top forecast ahead 56 billion pound merger,positive
stead based soft drink usual teho energy drink made fresh water,neutral
company plan increase unit 's specialist staff several dozen depending market situation 2010,neutral
company closed last year turnover four million euro,neutral
shire ceo step drive get baxalta board talking,positive
costco premier retail dividend play httpstcofa5cnh2t0t $ cost,positive
fivestorey ecoefficient building gross floor area 15000 sq also include apartment,neutral
first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozen design award,neutral
welcome,neutral
stockmann swedish sector company ab lindex entered agreement september 30 2007 whereby stockmann whollyowned subsidiary make public tender offer lindex 's issued share,positive
huhtamaki oyj stock exchange release 1692008 1332 huhtamaki 's capital market day institutional investor analyst held espoo september 16 2008 starting 1330 pm finnish time,neutral
pleased welcome tapeks noma cramo group,positive
profit tax eur 1059 827 million,neutral
royal dutch shell buy bg group nearly $ 70 billion,positive
financialwire tm press release service receives compensation news opinion distribution,neutral
assa abloy kaupthing bank gave neutral ' recommendation share price target 174 crown $ 247 19 euro swedish lock maker assa abloy ab,neutral
item included restructuring cost eur1 6 year earlier eur13 1 diluted eps stood eur0 3 versus loss per share eur 01,positive
2005 bank posted net profit lt 82 mn,neutral
$ aapl afternoon selloff usual brutal get ready lose ton money,negative
$ tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,negative
dolce gabbana asked european union declare marimekko corporation 's unikko `` floral pattern trademark invalid continuing dispute two company,negative
intercontinental hotel firstquarter global room revenue lag estimate,negative
according finnish pension insurance company varma varma recipient two third revenue earningsrelated pension cover competitive tendering finland,positive
portion $ 125 million recorded part winning prior patent dispute finnish phone maker nokia oyj,positive
lg still paying price dividend cut crisis chief say,negative
volume investment two phase project estimated usd 300mn eur 21503 mn,neutral
russia accounted 9 % lagardere magazine division 's revenue eur 11440 mn usd 14811 mn 2009 usa 18 %,neutral
company also estimate already carried investment lead increase net sale 2010 2009 reached eur 1417 million,positive
profit accounting period eur 03 mn,neutral
six brewery recorded 52 percent growth domestic beer sale last year 27021 million liter 25688 million liter sold 2005,positive
augustoctober 2010 company 's result tax totalled eur 96 mn eur 05 mn corresponding period 2009,positive
systeemitiimi 's sale project resource also strengthened director paul skogberg said,positive
tesco share price jump q3 sale top estimate,positive
fine print,neutral
price log clearly improved 2009 also price pulpwood gone,positive
thus sysopen digia accordance chapter 14 section 21 finnish company act 2991978 734 obtained title share sentera redeemed,neutral
diluted earnings per share eps fell eur 063 eur 171,neutral
337 pm eastern time block 2400 contract changed hand bid price $ 045,neutral
recent technology delivery include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plant bhushan steel,neutral
$ vip similar pattern like beginning may u sell nowwill go much higher drop,positive
firm generated sale 187 mln eur 2005,neutral
stora enso also meeting labor authority employment economic development centre representative government order find solution,neutral
astrazeneca profit sale stalwart fade,negative
rt andrewnyquist chartology yahoo httpstksco1itr $ yhoo crazy looking chart nearing breakout resistance line,positive
bullish stock twitter dip $ yhoo $ gdx $ googl $ stz $ gold $ ew $ vz $ celg $ sbux $ scty httpstcoiuzjelfwt3,positive
finnish geosentric 's net sale decreased eur 939000 januarymarch 2009,negative
cohen steer inc 5 534 626 share representing 4985 % share capital voting right,neutral
staff recruited japan complement network close 50 service location 20 country worldwide,positive
paper company negative territory stora enso r shedding 162 pct 1273 eur upmkymmene 080 pct 1864 eur mreal b 018 pct lower 557 eur,neutral
kaukotelko 's centralized administration dissolved appropriate part transferred operating activity group administration end year,neutral
